id;source;display_name;extras_fim_vigencia;extras_fim_implantacao;extras_inicio_vigencia
"40801144";"tuss-22";"RX - Teleperfil em cefalostato - sem traçado ";"-";"2010-10-15";"2009-02-13"
"40801136";"tuss-22";"RX - Panorâmica de mandíbula (ortopantomografia)";"-";"2010-10-15";"2009-02-13"
"40801128";"tuss-22";"RX - Adenóides ou cavum ";"-";"2010-10-15";"2009-02-13"
"40801110";"tuss-22";"RX - Articulação temporomandibular - bilateral ";"-";"2010-10-15";"2009-02-13"
"40801101";"tuss-22";"RX - Arcos zigomáticos ou malar ou apófises estilóides ";"-";"2010-10-15";"2009-02-13"
"40801098";"tuss-22";"RX - Ossos da face ";"-";"2010-10-15";"2009-02-13"
"40801080";"tuss-22";"RX - Maxilar inferior";"-";"2010-10-15";"2009-02-13"
"40801071";"tuss-22";"RX - Sela túrcica";"-";"2010-10-15";"2009-02-13"
"40801063";"tuss-22";"RX - Seios da face";"-";"2010-10-15";"2009-02-13"
"40801055";"tuss-22";"RX - Órbitas - bilateral";"-";"2010-10-15";"2009-02-13"
"40801047";"tuss-22";"RX - Orelha, mastóides ou rochedos - bilateral ";"-";"2010-10-15";"2009-02-13"
"40801039";"tuss-22";"RX - Crânio - 4 incidências";"-";"2010-10-15";"2009-02-13"
"40801020";"tuss-22";"RX - Crânio - 3 incidências";"-";"2010-10-15";"2009-02-13"
"40801012";"tuss-22";"RX - Crânio - 2 incidências";"-";"2010-10-15";"2009-02-13"
"40711021";"tuss-22";"Imunocintilografia (anticorpos monoclonais)";"-";"2010-10-15";"2009-02-13"
"40711013";"tuss-22";"Dacriocintilografia";"-";"2010-10-15";"2009-02-13"
"40710122";"tuss-22";"Tratamento de metástases ósseas com isótopos alfa emissor - por dia de atendimento (até o início do próximo ciclo - intervalo de 4 a 8 semanas)";"-";"2021-10-31";"2021-08-01"
"40710114";"tuss-22";"Tratamento de metástases ósseas com isótopos alfa emissor - planejamento e 1º dia de tratamento";"-";"2021-09-30";"2021-07-01"
"40710106";"tuss-22";"Controle após terapia com lutécio";"-";"2014-08-31";"2012-10-10"
"40710092";"tuss-22";"Tratamento de tumores neuroendócrinos  ";"-";"2010-10-15";"2009-02-13"
"40710084";"tuss-22";"Tratamento de metástases ósseas (samário-153)  ";"-";"2010-10-15";"2009-02-13"
"40710076";"tuss-22";"Tratamento de metástases ósseas (estrôncio-90) ";"-";"2010-10-15";"2009-02-13"
"40710068";"tuss-22";"Tratamento de hipertireoidismo-bócio nodular tóxico (Plummer) ";"-";"2010-10-15";"2009-02-13"
"40710050";"tuss-22";"Tratamento de hipertireoidismo-bócio nodular tóxico (Graves) ";"-";"2010-10-15";"2009-02-13"
"40710041";"tuss-22";"Tratamento de câncer da tireóide ";"-";"2010-10-15";"2009-02-13"
"40710033";"tuss-22";"Tratamento da policitemia vera";"-";"2010-10-15";"2009-02-13"
"40710025";"tuss-22";"Tratamento com metaiodobenzilguanidina (MIBG)";"-";"2010-10-15";"2009-02-13"
"40710017";"tuss-22";"Sessão médica para planejamento técnico de radioisotopoterapia";"-";"2010-10-15";"2009-02-13"
"40709035";"tuss-22";"Cintilografia pulmonar (perfusão)";"-";"2010-10-15";"2009-02-13"
"40709027";"tuss-22";"Cintilografia pulmonar (inalação)";"-";"2010-10-15";"2009-02-13"
"40709019";"tuss-22";"Cintilografia para detecção de aspiração pulmonar";"-";"2010-10-15";"2009-02-13"
"40708152";"tuss-22";"Laudo evolutivo de PET-CT por procedimento";"-";"2023-12-31";"2023-10-01"
"40708144";"tuss-22";"Revisão de PET-CT por procedimento";"-";"2023-12-31";"2023-10-01"
"40708136";"tuss-22";"PET CT neurológico com FDG";"-";"2021-10-31";"2021-08-01"
"40708128";"tuss-22";"PET dedicado oncológico";"-";"2010-10-15";"2009-02-13"
"40708110";"tuss-22";"Quantificação da captação pulmonar com gálio-67";"-";"2010-10-15";"2009-02-13"
"40708101";"tuss-22";"Linfocintilografia ";"-";"2010-10-15";"2009-02-13"
"40708098";"tuss-22";"Detecção intraoperatória radioguiada de linfonodo sentinela";"-";"2010-10-15";"2009-02-13"
"40708080";"tuss-22";"Detecção intraoperatória radioguiada de lesões tumorais";"-";"2010-10-15";"2009-02-13"
"40708071";"tuss-22";"Demarcação radioisotópica de lesões tumorais";"-";"2010-10-15";"2009-02-13"
"40708063";"tuss-22";"Cintilografia de mama (bilateral)";"-";"2010-10-15";"2009-02-13"
